"port","proto","svc","info"
"1","tcp","tcpmux","TCP Port Service Multiplexer"
"2","tcp","compressnet","Management Utility"
"3","tcp","compressnet","Compression Process"
"4","tcp","unknown",""
"5","tcp","rje","Remote Job Entry"
"6","tcp","unknown",""
"7","tcp","echo","echo"
"8","tcp","unknown",""
"9","tcp","discard","sink null"
"10","tcp","unknown",""
"11","tcp","systat","Active Users"
"12","tcp","unknown",""
"13","tcp","daytime","daytime"
"14","tcp","unknown",""
"15","tcp","netstat","netstat"
"16","tcp","unknown",""
"17","tcp","qotd","Quote of the Day"
"18","tcp","msp","msp"
"19","tcp","chargen","chargen"
"20","tcp","ftp-data","File Transfer Protocol (Data)"
"21","tcp","ftp","File Transfer Protocol (Control)"
"22","tcp","ssh","Secure Shell Protocol"
"23","tcp","telnet","Telnet Server"
"24","tcp","priv-mail","Private Mail System"
"25","tcp","smtp","Simple Mail Transfer Protocol"
"26","tcp","rsftp","RSFTP"
"27","tcp","nsw-fe","NSW User System FE"
"28","tcp","unknown",""
"29","tcp","msg-icp","MSG ICP"
"30","tcp","unknown",""
"31","tcp","msg-auth","MSG Authentication"
"32","tcp","unknown",""
"33","tcp","dsp","Display Support Protocol"
"34","tcp","unknown",""
"35","tcp","priv-print","any private printer server"
"36","tcp","unknown",""
"37","tcp","time","timeserver"
"38","tcp","rap","Route Access Protocol"
"39","tcp","rlp","Resource Location Protocol"
"40","tcp","unknown",""
"41","tcp","graphics","graphics"
"42","tcp","nameserver","nameserver"
"43","tcp","whois","whois"
"44","tcp","mpm-flags","MPM FLAGS Protocol"
"45","tcp","mpm","Message Processing Module [recv]"
"46","tcp","mpm-snd","MPM [default send]"
"47","tcp","ni-ftp","NI File Transfer Protocol"
"48","tcp","auditd","Digital Audit Daemon"
"49","tcp","tacacs","Login Host Protocol (TACACS)"
"50","tcp","re-mail-ck","Remote Mail Checking Protocol"
"51","tcp","la-maint","IMP Logical Address Maintenance"
"52","tcp","xns-time","XNS Time Protocol"
"53","tcp","domain","Domain Name Server"
"54","tcp","xns-ch","XNS Clearinghouse"
"55","tcp","isi-gl","ISI Graphics Language"
"56","tcp","xns-auth","XNS Authentication"
"57","tcp","priv-term","any private terminal access"
"58","tcp","xns-mail","XNS Mail"
"59","tcp","priv-file","any private file service"
"60","tcp","unknown",""
"61","tcp","ni-mail","NI MAIL"
"62","tcp","acas","ACA Services"
"63","tcp","via-ftp","File Transfer Protocol"
"64","tcp","covia","Communications Integrator (CI)"
"65","tcp","tacacs-ds","TACACS-Database Service"
"66","tcp","sqlnet","sqlnet"
"67","tcp","dhcps","dhcps"
"68","tcp","dhcpc","dhcpc"
"69","tcp","tftp","Trivial File Transfer"
"70","tcp","gopher","gopher"
"71","tcp","netrjs-1","Remote Job Service"
"72","tcp","netrjs-2","Remote Job Service"
"73","tcp","netrjs-3","Remote Job Service"
"74","tcp","netrjs-4","Remote Job Service"
"75","tcp","priv-dial","any private dial out service"
"76","tcp","deos","Distributed External Object Store"
"77","tcp","priv-rje","any private RJE service (netrjs)"
"78","tcp","vettcp","vettcp"
"79","tcp","finger","finger"
"80","tcp","http","Hyper Text Transfer Protocol"
"81","tcp","hosts2-ns","HOSTS2 Name Server"
"82","tcp","xfer","XFER Utility"
"83","tcp","mit-ml-dev","MIT ML Device"
"84","tcp","ctf","Common Trace Facility"
"85","tcp","mit-ml-dev","MIT ML Device"
"86","tcp","mfcobol","Micro Focus Cobol"
"87","tcp","priv-term-l","any private terminal link (ttylink)"
"88","tcp","kerberos-sec","Kerberos"
"89","tcp","su-mit-tg","SU/MIT Telnet Gateway"
"90","tcp","dnsix","DNSIX Securit Attribute Token Map"
"91","tcp","mit-dov","MIT Dover Spooler"
"92","tcp","npp","Network Printing Protocol"
"93","tcp","dcp","Device Control Protocol"
"94","tcp","objcall","Tivoli Object Dispatcher"
"95","tcp","supdup","BSD supdupd(8)"
"96","tcp","dixie","DIXIE Protocol Specification"
"97","tcp","swift-rvf","Swift Remote Virtural File Protocol"
"98","tcp","linuxconf","linuxconf"
"99","tcp","metagram","Metagram Relay"
"100","tcp","newacct","[unauthorized use]"
"101","tcp","hostname","hostname"
"102","tcp","iso-tsap","iso-tsap"
"103","tcp","gppitnp","gppitnp"
"104","tcp","acr-nema","ACR-NEMA Digital Imag. & Comm. 300"
"105","tcp","csnet-ns","csnet-ns"
"106","tcp","pop3pw","pop3pw"
"107","tcp","rtelnet","rtelnet"
"108","tcp","snagas","SNA Gateway Access Server"
"109","tcp","pop2","pop2"
"110","tcp","pop3","pop3"
"111","tcp","rpcbind","rpcbind"
"112","tcp","mcidas","McIDAS Data Transmission Protocol"
"113","tcp","ident","ident"
"114","tcp","audionews","Audio News Multicast"
"115","tcp","sftp","Simple File Transfer Protocol"
"116","tcp","ansanotify","ANSA REX Notify"
"117","tcp","uucp-path","UUCP Path Service"
"118","tcp","sqlserv","SQL Services"
"119","tcp","nntp","Network News Transfer Protocol"
"120","tcp","cfdptkt","cfdptkt"
"121","tcp","erpc","Encore Expedited Remote Pro.Call"
"122","tcp","smakynet","smakynet"
"123","tcp","ntp","Network Time Protocol"
"124","tcp","ansatrader","ANSA REX Trader"
"125","tcp","locus-map","Locus PC-Interface Net Map Ser"
"126","tcp","unitary","unitary"
"127","tcp","locus-con","Locus PC-Interface Conn Server"
"128","tcp","gss-xlicen","GSS X License Verification"
"129","tcp","pwdgen","Password Generator Protocol"
"130","tcp","cisco-fna","Cisco FNATIVE"
"131","tcp","cisco-tna","Cisco TNATIVE"
"132","tcp","cisco-sys","Cisco SYSMAINT"
"133","tcp","statsrv","Statistics Service"
"134","tcp","ingres-net","INGRES-NET Service"
"135","tcp","msrpc","msrpc"
"136","tcp","profile","PROFILE Naming System"
"137","tcp","netbios-ns","NETBIOS Name Service"
"138","tcp","netbios-dgm","NETBIOS Datagram Service"
"139","tcp","netbios-ssn","NETBIOS Session Service"
"140","tcp","emfis-data","EMFIS Data Service"
"141","tcp","emfis-cntl","EMFIS Control Service"
"142","tcp","bl-idm","Britton-Lee IDM"
"143","tcp","imap","imap"
"144","tcp","news","news"
"145","tcp","uaac","UAAC Protocol"
"146","tcp","iso-tp0","ISO-IP0"
"147","tcp","iso-ip","iso-ip"
"148","tcp","cronus","cronus"
"149","tcp","aed-512","AED 512 Emulation Service"
"150","tcp","sql-net","sql-net"
"151","tcp","hems","hems"
"152","tcp","bftp","Background File Transfer Program"
"153","tcp","sgmp","sgmp"
"154","tcp","netsc-prod","NETSC"
"155","tcp","netsc-dev","NETSC"
"156","tcp","sqlsrv","SQL Service"
"157","tcp","knet-cmp","KNET/VM Command/Message Protocol"
"158","tcp","pcmail-srv","PCMail Server"
"159","tcp","nss-routing","nss-routing"
"160","tcp","sgmp-traps","sgmp-traps"
"161","tcp","snmp","snmp"
"162","tcp","snmptrap","snmp-trap"
"163","tcp","cmip-man","CMIP/TCP Manager"
"164","tcp","cmip-agent","CMIP/TCP Agent"
"165","tcp","xns-courier","Xerox"
"166","tcp","s-net","Sirius Systems"
"167","tcp","namp","namp"
"168","tcp","rsvd","rsvd"
"169","tcp","send","send"
"170","tcp","print-srv","Network PostScript"
"171","tcp","multiplex","Network Innovations Multiplex"
"172","tcp","cl-1","cl-1"
"173","tcp","xyplex-mux","Xyplex"
"174","tcp","mailq","mailq"
"175","tcp","vmnet","vmnet"
"176","tcp","genrad-mux","genrad-mux"
"177","tcp","xdmcp","xdmcp"
"178","tcp","nextstep","NextStep Window Server"
"179","tcp","bgp","Border Gateway Protocol"
"180","tcp","ris","Intergraph"
"181","tcp","unify","unify"
"182","tcp","audit","Unisys Audit SITP"
"183","tcp","ocbinder","ocbinder"
"184","tcp","ocserver","ocserver"
"185","tcp","remote-kis","remote-kis"
"186","tcp","kis","KIS Protocol"
"187","tcp","aci","Application Communication Interface"
"188","tcp","mumps","Plus Five's MUMPS"
"189","tcp","qft","Queued File Transport"
"190","tcp","gacp","Gateway Access Control Protocol"
"191","tcp","prospero","Prospero Directory Service"
"192","tcp","osu-nms","OSU Network Monitoring System"
"193","tcp","srmp","Spider Remote Monitoring Protocol"
"194","tcp","irc","irc"
"195","tcp","dn6-nlm-aud","DNSIX Network Level Module Audit"
"196","tcp","dn6-smm-red","DNSIX Session Mgt Module Audit Redir"
"197","tcp","dls","Directory Location Service"
"198","tcp","dls-mon","Directory Location Service Monitor"
"199","tcp","smux","SNMP Unix Multiplexer"
"200","tcp","src","IBM System Resource Controller"
"201","tcp","at-rtmp","AppleTalk Routing Maintenance"
"202","tcp","at-nbp","AppleTalk Name Binding"
"203","tcp","at-3","AppleTalk Unused"
"204","tcp","at-echo","AppleTalk Echo"
"205","tcp","at-5","AppleTalk Unused"
"206","tcp","at-zis","AppleTalk Zone Information"
"207","tcp","at-7","AppleTalk Unused"
"208","tcp","at-8","AppleTalk Unused"
"209","tcp","tam","tam"
"210","tcp","z39.50","z39.50"
"211","tcp","914c-g","914c-g"
"212","tcp","anet","ATEXSSTR"
"213","tcp","ipx","ipx"
"214","tcp","vmpwscs","VM PWSCS"
"215","tcp","softpc","Insignia Solutions"
"216","tcp","atls","atls"
"217","tcp","dbase","dBASE Unix"
"218","tcp","mpp","Netix Message Posting Protocol"
"219","tcp","uarps","Unisys ARPs"
"220","tcp","imap3","Interactive Mail Access Protocol v3"
"221","tcp","fln-spx","Berkeley rlogind with SPX auth"
"222","tcp","rsh-spx","Berkeley rshd with SPX auth"
"223","tcp","cdc","Certificate Distribution Center"
"224","tcp","masqdialer","masqdialer"
"225","tcp","unknown",""
"226","tcp","unknown",""
"227","tcp","unknown",""
"228","tcp","unknown",""
"229","tcp","unknown",""
"230","tcp","unknown",""
"231","tcp","unknown",""
"232","tcp","unknown",""
"233","tcp","unknown",""
"234","tcp","unknown",""
"235","tcp","unknown",""
"236","tcp","unknown",""
"237","tcp","unknown",""
"238","tcp","unknown",""
"239","tcp","unknown",""
"240","tcp","unknown",""
"241","tcp","unknown",""
"242","tcp","direct","direct"
"243","tcp","sur-meas","Survey Measurement"
"244","tcp","dayna","inbusiness"
"245","tcp","link","link"
"246","tcp","dsp3270","Display Systems Protocol"
"247","tcp","subntbcst_tftp","subntbcst-tftp"
"248","tcp","bhfhs","bhfhs"
"249","tcp","unknown",""
"250","tcp","unknown",""
"251","tcp","unknown",""
"252","tcp","unknown",""
"253","tcp","unknown",""
"254","tcp","unknown",""
"255","tcp","unknown",""
"256","tcp","fw1-secureremote","fw1-secureremote"
"257","tcp","fw1-mc-fwmodule","fw1-mc-fwmodule"
"258","tcp","fw1-mc-gui","also yak winsock personal chat"
"259","tcp","esro-gen","esro-gen"
"260","tcp","openport","openport"
"261","tcp","nsiiops","nsiiops"
"262","tcp","arcisdms","arcisdms"
"263","tcp","hdap","hdap"
"264","tcp","bgmp","bgmp"
